decade,explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
12,1,209476,0.0249,0.74,0.576,0,6,0.104,-6.744,0.146,110.095,4,0,0.315,81
12,1,182857,0.146,0.868,0.638,0.0565,2,0.0931,-7.746,0.0736,126.03,4,1,0.459,79
12,0,188368,0.436,0.579,0.596,0.0938,8,0.0549,-4.823,0.0561,119.9,3,1,0.443,93
12,1,173640,0.125,0.731,0.626,0,11,0.183,-6.919,0.0805,82.488,4,1,0.862,75
12,1,159082,0.129,0.933,0.656,0,2,0.161,-5.85,0.322,119.987,4,1,0.934,80
12,1,123986,0.455,0.775,0.518,0,6,0.121,-5.857,0.311,161.011,4,0,0.646,81
12,0,120308,0.617,0.424,0.438,0,11,0.0837,-5.53,0.0553,128.983,5,1,0.325,81
12,1,199604,0.31,0.78,0.718,0.000163,3,0.0932,-3.605,0.0506,127.949,4,0,0.342,90
12,0,161829,0.67,0.734,0.497,2.35e-05,8,0.194,-9.666,0.166,127.989,3,1,0.307,82
12,1,173346,0.00165,0.75,0.608,0,1,0.178,-4.008,0.0387,132.507,4,1,0.958,89
12,0,242644,0.005,0.495,0.896,0,11,0.353,-2.381,0.0331,146.04,4,1,0.462,81
12,1,172832,0.13,0.827,0.731,0,4,0.418,-5.524,0.088,118.992,4,0,0.607,80
12,1,214692,0.173,0.539,0.615,0.0056,1,0.144,-8.746,0.252,163.924,4,0,0.493,78
12,1,213333,0.487,0.48,0.602,0,10,0.0848,-6.335,0.368,179.798,4,0,0.269,83
12,1,208188,0.114,0.706,0.59,0,10,0.128,-6.403,0.0619,82.973,4,1,0.462,79
12,1,163586,0.941,0.473,0.203,0,2,0.126,-12.627,0.102,168.884,4,1,0.419,82
12,1,195153,0.121,0.803,0.495,0,11,0.104,-5.724,0.321,80.972,4,1,0.628,77
12,0,139333,0.983,0.45,0.202,0.00913,0,0.122,-9.169,0.0365,88.625,5,0,0.721,77
12,0,213493,0.268,0.602,0.477,3.1e-05,9,0.173,-8.425,0.032,183.89,4,1,0.552,77
12,0,137806,0.757,0.835,0.381,4.59e-06,9,0.121,-6.121,0.342,154.973,4,1,0.31,83
12,1,155737,0.397,0.777,0.59,0,0,0.169,-8.741,0.286,147.978,4,0,0.238,76
12,0,182163,0.798,0.387,0.253,0.000159,5,0.0848,-8.901,0.0336,68.004,5,1,0.134,83
12,1,181688,0.157,0.487,0.74,0,6,0.612,-4.973,0.0944,73.779,4,1,0.522,79
12,1,224954,0.055,0.771,0.654,0,8,0.214,-6.976,0.298,155.047,4,0,0.573,78
12,1,244000,0.92,0.462,0.24,0,0,0.113,-12.077,0.0377,171.319,4,1,0.32,81
12,1,133706,0.023,0.815,0.848,0.000162,4,0.0265,-4.704,0.115,106.032,4,0,0.684,86
12,1,146880,0.002,0.804,0.946,0,7,0.359,-5.949,0.352,150.141,4,1,0.745,76
12,0,210772,0.0951,0.466,0.536,0,6,0.114,-6.227,0.0429,75.998,4,1,0.377,78
12,0,210463,0.0563,0.399,0.491,0.00089,6,0.11,-10.778,0.0538,91.066,4,0,0.151,81
12,1,160212,0.291,0.701,0.65,0,6,0.112,-6.313,0.104,90.003,4,1,0.647,79
12,0,189486,0.841,0.775,0.327,0,11,0.0821,-7.241,0.0557,91.05,4,1,0.595,88
12,0,240226,0.817,0.61,0.488,0,3,0.312,-6.918,0.0293,125.039,4,1,0.443,83
12,0,207973,0.723,0.596,0.679,0,4,0.116,-6.395,0.0394,131.912,4,1,0.479,76
12,0,158536,0.385,0.53,0.593,0,5,0.314,-7.286,0.0545,125.723,4,1,0.538,81
12,1,54528,0.245,0.671,0.429,0,0,0.13,-9.267,0.321,65.192,4,1,0.557,77
12,1,53400,0.145,0.621,0.573,0,1,0.334,-8.393,0.387,83.591,3,1,0.529,77
12,1,61753,0.746,0.602,0.518,0.000103,7,0.168,-12.499,0.233,140.709,4,0,0.785,77
12,1,205090,0.401,0.731,0.573,5.22e-05,4,0.113,-10.059,0.0544,109.928,4,0,0.145,87
12,1,224042,0.116,0.792,0.707,0,7,0.12,-5.218,0.0623,134.997,4,0,0.408,81
12,0,162805,0.00126,0.587,0.847,2.29e-06,0,0.111,-5.273,0.0594,149.954,4,0,0.376,78
12,1,199758,0.0978,0.724,0.675,9.41e-06,2,0.351,-5.267,0.0867,160.048,4,1,0.325,80
12,0,203200,0.0303,0.856,0.618,0,7,0.0866,-4.892,0.286,81.993,4,1,0.391,86
12,1,230094,0.0935,0.619,0.622,0,6,0.226,-5.874,0.0461,150.062,4,0,0.194,78
12,1,156944,0.0012,0.868,0.795,0.0193,11,0.0461,-6.044,0.269,166,4,1,0.819,80
12,0,86739,0.701,0.657,0.447,0.924,9,0.198,-9.299,0.087,184.315,4,0,0.537,80
12,1,203144,0.143,0.762,0.433,0,5,0.118,-8.937,0.187,122.074,4,1,0.394,81
12,1,181929,0.135,0.926,0.542,0,1,0.0877,-5.064,0.293,135.14,4,1,0.564,77
12,1,195428,0.256,0.799,0.66,0,1,0.111,-6.153,0.079,140.04,4,0,0.471,83
12,1,198620,0.392,0.861,0.637,0,6,0.0929,-7.701,0.133,87.006,4,0,0.754,78
12,1,136899,0.0458,0.912,0.608,0,1,0.248,-7.686,0.397,136.994,4,1,0.327,75
12,1,140500,0.198,0.77,0.787,0,11,0.262,-3.748,0.0583,119.986,4,0,0.513,91
12,1,236883,0.0151,0.581,0.877,0,8,0.826,-4.938,0.114,77.006,4,1,0.353,79
12,1,163902,0.0538,0.752,0.673,0,10,0.133,-5.792,0.153,164.009,4,0,0.35,78
12,0,242010,0.432,0.306,0.664,7.5e-06,9,0.135,-6.07,0.0276,158.283,4,1,0.321,81
12,1,176960,0.316,0.755,0.578,0,0,0.25,-8.932,0.145,94.148,4,0,0.581,81
12,0,207853,0.281,0.788,0.859,0,2,0.0424,-2.724,0.0856,141.02,4,1,0.822,88
12,0,295413,0.000328,0.594,0.713,0,9,0.114,-5.314,0.0503,129.958,4,1,0.328,80
12,0,189408,0.696,0.673,0.326,3.73e-06,0,0.103,-7.481,0.0348,133.309,4,1,0.672,85
12,0,189050,0.463,0.436,0.4,0,0,0.76,-6.521,0.11,75.576,3,1,0.568,86
12,1,296568,0.614,0.686,0.385,0,7,0.131,-8.35,0.297,143.07,4,0,0.147,80
12,0,235858,0.264,0.752,0.719,7.96e-05,6,0.126,-4.399,0.0285,107.582,4,0,0.544,83
12,1,127921,0.0861,0.596,0.575,0.000153,11,0.334,-8.325,0.0514,98.265,3,0,0.34,78
