explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
0,204160,0.0295,0.581,0.963,0,11,0.139,-4.087,0.0981,129.992,4,1,0.788,82
0,194240,0.0591,0.673,0.902,0.000262,2,0.0558,-2.392,0.0346,100.012,4,1,0.538,81
1,231546,0.0262,0.534,0.583,0,2,0.421,-8.672,0.0288,105.997,4,1,0.145,81
0,252306,0.191,0.671,0.939,0,8,0.298,-3.206,0.161,129.024,4,1,0.53,83
1,187040,0.172,0.651,0.724,0,7,0.13,-5.457,0.166,144.146,4,1,0.686,80
0,229400,0.347,0.68,0.741,1.87e-06,2,0.117,-5.055,0.0357,127.024,4,1,0.635,73
1,210746,0.0891,0.585,0.909,9.7e-05,8,0.119,-6.474,0.0707,93.372,4,1,0.758,79
0,202496,0.000569,0.494,0.951,0,9,0.327,-4.237,0.132,160.025,4,1,0.441,74
0,147096,0.923,0,4.98e-05,0.297,10,0.11,-32.354,0,0,0,0,0,78
0,241440,0.0161,0.526,0.712,0,11,0.179,-6.525,0.0356,105.009,4,0,0.32,74
1,157712,0.0104,0.802,0.591,0,8,0.196,-4.895,0.225,139.864,4,1,0.309,82
1,222986,0.292,0.737,0.597,0,7,0.13,-7.333,0.119,92.049,4,1,0.449,77
0,215733,0.371,0.572,0.385,0,7,0.231,-6.362,0.0308,95.799,4,1,0.323,86
0,214680,0.0542,0.412,0.477,0.798,9,0.0975,-9.381,0.029,75.302,4,0,0.141,74
0,223078,0.0355,0.688,0.533,3.48e-06,6,0.172,-8.363,0.0865,164.069,4,0,0.567,78
0,227080,0.096,0.616,0.656,0.000879,5,0.205,-7.298,0.0344,150.071,4,1,0.286,74
1,159669,0.0493,0.732,0.387,0,10,0.141,-8.47,0.0741,157.875,3,0,0.242,75
0,172723,0.588,0.418,0.42,6.39e-05,0,0.11,-6.444,0.0414,84.094,4,1,0.184,83
1,240341,0.696,0.61,0.458,0.000103,9,0.0852,-11.336,0.36,192.099,4,1,0.246,77
0,247160,0.0498,0.617,0.635,1.44e-05,11,0.164,-6.769,0.0317,103.019,4,0,0.446,85
1,203373,0.0509,0.743,0.732,1.77e-05,8,0.227,-4.511,0.104,123.994,4,1,0.339,79
1,249040,0.222,0.572,0.631,0,7,0.135,-9.836,0.0476,134.078,4,0,0.0713,81
1,235986,0.365,0.636,0.566,0.000353,6,0.0917,-7.16,0.106,151.894,4,0,0.425,76
1,194594,0.709,0.385,0.757,0,0,0.235,-5.96,0.167,82.673,4,1,0.469,76
1,154666,0.000219,0.495,0.856,0,0,0.103,-5.123,0.0311,158.024,4,0,0.609,81
1,91288,0.137,0.676,0.503,6.36e-05,8,0.0981,-6.115,0.0971,162.85,4,1,0.196,75
1,299613,0.0796,0.531,0.803,1.71e-05,1,0.176,-3.284,0.0717,142.113,4,1,0.221,78
1,202040,0.511,0.691,0.64,0,0,0.409,-6.441,0.369,138.672,4,1,0.163,75
0,259550,0.779,0.587,0.299,0,8,0.123,-7.365,0.0263,94.992,3,1,0.356,83
0,215110,0.674,0.791,0.267,0.534,5,0.102,-11.997,0.0415,165.99,4,1,0.544,77
1,222997,0.334,0.735,0.369,0,9,0.126,-9.682,0.0688,140.004,4,0,0.235,79
1,210386,0.111,0.8,0.591,0,6,0.429,-8.808,0.271,117.003,4,1,0.747,77
1,259333,0.173,0.674,0.506,0,6,0.0866,-10.532,0.0434,145.965,4,1,0.183,76
0,239316,0.529,0.677,0.485,2.04e-05,5,0.0766,-5.795,0.0361,82.001,4,1,0.493,84
0,163133,0.794,0.685,0.466,2.06e-06,0,0.0915,-9.074,0.0304,79.936,4,1,0.353,74
1,256533,0.233,0.675,0.562,0,7,0.0816,-7.678,0.0352,130.098,4,1,0.309,78
0,203417,0.0169,0.596,0.854,0,7,0.124,-5.114,0.463,120.274,4,0,0.152,83
0,245493,0.225,0.6,0.663,0,3,0.119,-5.802,0.0477,121.07,4,1,0.286,84
0,179506,0.263,0.677,0.556,0,9,0.105,-6.544,0.0306,80.006,4,1,0.521,75
1,251859,0.157,0.709,0.362,0,11,0.109,-9.814,0.055,122.043,4,1,0.113,77
0,260285,0.837,0.681,0.174,3.35e-05,1,0.0983,-8.745,0.0315,112.672,4,1,0.231,83
1,227533,0.64,0.664,0.667,1.22e-06,4,0.0753,-5.941,0.154,180.064,4,1,0.381,78
1,237786,0.0862,0.546,0.529,6.5e-06,11,0.124,-10.511,0.0583,107.331,4,0,0.247,78
1,143969,0.000404,0.659,0.614,0,9,0.123,-7.32,0.0541,119.405,4,0,0.26,76
0,167693,0.153,0.654,0.63,0,10,0.111,-4.644,0.0259,89.991,4,1,0.43,81
0,228442,0.885,0.501,0.167,0,1,0.111,-14.061,0.0484,112.275,3,1,0.356,82
0,164165,0.000653,0.231,0.877,0.026,9,0.0694,-5.278,0.0574,186.142,4,1,0.524,77
0,195920,0.0841,0.732,0.396,3.58e-05,4,0.105,-9.348,0.0286,90.024,4,0,0.548,83
0,212293,0.000346,0.482,0.833,0,5,0.365,-5.611,0.0449,148.039,4,1,0.74,73
1,181573,0.000107,0.766,0.442,6.12e-05,1,0.111,-8.558,0.356,201.8,4,1,0.39,75
0,226866,0.0916,0.506,0.886,0,11,0.0734,-3.225,0.0655,143.935,4,1,0.595,75
0,271800,0.889,0.591,0.28,0,4,0.124,-5.494,0.0283,141.916,4,1,0.348,76
1,245172,0.611,0.63,0.5,4.04e-05,1,0.114,-8.755,0.0611,144.871,4,0,0.315,81
1,163173,0.239,0.879,0.498,0,4,0.0967,-6.027,0.18,106.044,4,0,0.405,79
0,186813,0.106,0.448,0.784,0.000108,9,0.668,-3.686,0.0627,136.245,4,1,0.236,74
0,213520,0.113,0.705,0.769,0,9,0.105,-5.526,0.0425,107.949,4,0,0.583,82
0,218754,0.365,0.331,0.45,0.00464,10,0.22,-5.362,0.034,123.829,4,1,0.18,78
1,207026,0.0764,0.718,0.422,0,4,0.17,-9.115,0.0621,144.678,4,0,0.455,85
0,164640,0.66,0.769,0.479,0,1,0.0914,-5.339,0.0385,96.051,4,1,0.803,77
1,268186,0.0576,0.497,0.489,9.91e-05,11,0.122,-7.724,0.294,171.853,4,0,0.231,76
0,214520,0.00163,0.504,0.891,0.00199,6,0.148,-5.632,0.137,153.988,4,0,0.628,74
1,224349,0.12,0.768,0.561,9.2e-06,8,0.0916,-6.657,0.0453,120.049,4,1,0.731,79
0,226073,0.56,0.811,0.266,1.05e-06,7,0.0962,-12.478,0.0406,130.044,4,1,0.211,78
1,163320,0.0608,0.876,0.662,0,2,0.127,-6.482,0.426,75.445,4,0,0.844,77
0,178426,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,0.157,169.994,4,1,0.564,79
0,232253,0.216,0.75,0.404,0.000357,9,0.0911,-10.178,0.0682,95.045,4,0,0.0499,80
0,190557,0.0531,0.763,0.628,0,11,0.114,-5.85,0.05,140.958,4,1,0.193,80
1,302346,0.0584,0.762,0.508,0.00126,3,0.16,-9.112,0.0919,93.51,4,1,0.37,76
0,211920,0.00498,0.711,0.7,0.000125,1,0.215,-4.805,0.046,128.001,4,0,0.801,81
0,222400,0.0129,0.811,0.719,1.36e-05,9,0.0742,-6.553,0.0497,103.979,4,1,0.865,80
1,195546,0.0111,0.907,0.651,0.000433,6,0.108,-5.661,0.312,147.026,4,0,0.637,74
1,300160,0.157,0.779,0.572,0,6,0.246,-9.985,0.378,135.956,4,0,0.647,73
0,377960,0.172,0.306,0.347,0.00013,2,0.0485,-8.5,0.0334,120.996,4,1,0.0511,80
1,235493,0.0591,0.748,0.788,0,1,0.0863,-7.055,0.0334,120.076,4,1,0.884,83
1,233786,0.0239,0.853,0.693,0,1,0.11,-6.87,0.275,95.967,4,1,0.662,78
0,91869,0.0448,0.574,0.664,0.0553,11,0.146,-6.068,0.0409,144.654,4,1,0.226,84
0,199440,0.38,0.866,0.813,0,11,0.0779,-4.063,0.0554,121.998,4,0,0.969,86
0,233626,0.00465,0.562,0.689,2.23e-06,2,0.0888,-6.745,0.127,172.054,4,1,0.351,79
0,213386,0.356,0.616,0.438,0,1,0.24,-5.968,0.0298,135.929,4,1,0.386,75
0,229346,0.0265,0.44,0.778,1.04e-06,1,0.151,-1.786,0.0327,148.038,4,0,0.304,74
1,156000,0.138,0.718,0.767,0,9,0.114,-5.641,0.166,160.084,4,1,0.519,77
1,196767,0.0503,0.518,0.572,2.41e-05,10,0.129,-6.706,0.0416,130.053,4,0,0.291,82
0,233720,0.835,0.609,0.378,0,4,0.28,-9.828,0.438,100.418,4,1,0.515,85
0,188453,0.0761,0.858,0.678,0,1,0.0741,-3.87,0.0469,117.009,4,0,0.922,83
1,268565,0.533,0.815,0.364,3.52e-05,2,0.108,-11.158,0.375,129.937,4,1,0.328,77
0,263386,0.1,0.692,0.809,9.77e-05,2,0.185,-5.935,0.0255,104.023,4,1,0.927,74
0,218280,0.408,0.585,0.55,3.97e-05,11,0.115,-7.342,0.0255,78.176,4,1,0.839,73
0,295502,0.33,0.578,0.43,0,5,0.0854,-6.134,0.0305,78.991,4,0,0.288,77
0,173560,0.738,0.583,0.572,0,1,0.266,-4.776,0.0366,113.998,4,1,0.684,81
1,117013,0.632,0.719,0.538,0,11,0.135,-6.897,0.28,204.132,4,0,0.803,79
0,201000,0.64,0.681,0.372,0,5,0.169,-8.237,0.0432,91.873,4,1,0.476,75
0,225983,0.034,0.818,0.803,0,1,0.153,-4.282,0.0797,106.97,4,1,0.632,81
1,169038,0.0828,0.844,0.644,0,11,0.113,-6.273,0.0479,122.061,4,0,0.591,78
0,161462,0.788,0.529,0.353,0.853,7,0.116,-12.835,0.0292,104.557,4,1,0.0601,78
